# Hexagonal side 5mm, cell height 20mm, TM diameter 1mm
# Vcathode   diaFe    dTmFe    Vfocus     nAll 1mm 2mm
-1000.000000 4.000000 8.000000 -700.000000 271 13 47
-1000.000000 4.000000 8.000000 -600.000000 271 7 31
-1000.000000 4.000000 8.000000 -500.000000 271 7 19
-1000.000000 4.000000 8.000000 -400.000000 271 5 13
-1000.000000 4.000000 8.000000 -300.000000 271 1 7
-1000.000000 4.000000 8.000000 -200.000000 271 1 7
-1000.000000 4.000000 8.000000 -100.000000 271 1 1
-1000.000000 5.000000 1.000000 -900.000000 271 137 270
-1000.000000 5.000000 1.000000 -800.000000 271 85 271
-1000.000000 5.000000 1.000000 -700.000000 271 56 218
-1000.000000 5.000000 1.000000 -600.000000 271 37 159
-1000.000000 5.000000 1.000000 -500.000000 271 31 114
-1000.000000 5.000000 1.000000 -400.000000 271 19 85
-1000.000000 5.000000 1.000000 -300.000000 271 13 55
-1000.000000 5.000000 1.000000 -200.000000 271 7 37
-1000.000000 5.000000 1.000000 -100.000000 271 7 19
-1000.000000 5.000000 2.000000 -900.000000 271 135 271
-1000.000000 5.000000 2.000000 -800.000000 271 78 271
-1000.000000 5.000000 2.000000 -700.000000 271 51 186
-1000.000000 5.000000 2.000000 -600.000000 271 35 122
-1000.000000 5.000000 2.000000 -500.000000 271 19 85
-1000.000000 5.000000 2.000000 -400.000000 271 19 60
-1000.000000 5.000000 2.000000 -300.000000 271 9 37
-1000.000000 5.000000 2.000000 -200.000000 271 7 23
-1000.000000 5.000000 2.000000 -100.000000 271 1 13
-1000.000000 5.000000 4.000000 -900.000000 271 90 271
-1000.000000 5.000000 4.000000 -800.000000 271 50 177
-1000.000000 5.000000 4.000000 -700.000000 271 31 113
-1000.000000 5.000000 4.000000 -600.000000 271 19 76
-1000.000000 5.000000 4.000000 -500.000000 271 13 54
-1000.000000 5.000000 4.000000 -400.000000 271 7 35
-1000.000000 5.000000 4.000000 -300.000000 271 7 19
-1000.000000 5.000000 4.000000 -200.000000 271 5 13
-1000.000000 5.000000 4.000000 -100.000000 271 1 7
-1000.000000 5.000000 5.000000 -900.000000 271 79 269
-1000.000000 5.000000 5.000000 -800.000000 271 37 141
-1000.000000 5.000000 5.000000 -700.000000 271 19 86
-1000.000000 5.000000 5.000000 -600.000000 271 17 59
-1000.000000 5.000000 5.000000 -500.000000 271 9 37
-1000.000000 5.000000 5.000000 -400.000000 271 7 27
-1000.000000 5.000000 5.000000 -300.000000 271 7 19
-1000.000000 5.000000 5.000000 -200.000000 271 1 9
-1000.000000 5.000000 5.000000 -100.000000 271 1 7
-1000.000000 5.000000 6.000000 -900.000000 271 60 227
-1000.000000 5.000000 6.000000 -800.000000 271 31 117
-1000.000000 5.000000 6.000000 -700.000000 271 19 65
-1000.000000 5.000000 6.000000 -600.000000 271 13 47
-1000.000000 5.000000 6.000000 -500.000000 271 7 31
-1000.000000 5.000000 6.000000 -400.000000 271 7 19
-1000.000000 5.000000 6.000000 -300.000000 271 5 13
-1000.000000 5.000000 6.000000 -200.000000 271 1 7
-1000.000000 5.000000 6.000000 -100.000000 271 1 7
-1000.000000 5.000000 7.000000 -900.000000 271 55 190
-1000.000000 5.000000 7.000000 -800.000000 271 23 91
-1000.000000 5.000000 7.000000 -700.000000 271 17 55
-1000.000000 5.000000 7.000000 -600.000000 271 7 37
-1000.000000 5.000000 7.000000 -500.000000 271 7 23
-1000.000000 5.000000 7.000000 -400.000000 271 7 19
-1000.000000 5.000000 7.000000 -300.000000 271 1 9
-1000.000000 5.000000 7.000000 -200.000000 271 1 7
-1000.000000 5.000000 7.000000 -100.000000 271 1 1
-1000.000000 5.000000 8.000000 -900.000000 271 38 159
-1000.000000 5.000000 8.000000 -800.000000 271 19 77
-1000.000000 5.000000 8.000000 -700.000000 271 13 46
-1000.000000 5.000000 8.000000 -600.000000 271 7 31
-1000.000000 5.000000 8.000000 -500.000000 271 7 19
-1000.000000 5.000000 8.000000 -400.000000 271 5 13
-1000.000000 5.000000 8.000000 -300.000000 271 1 7
-1000.000000 5.000000 8.000000 -200.000000 271 1 7
-1000.000000 5.000000 8.000000 -100.000000 271 1 1
-1000.000000 5.000000 9.000000 -900.000000 271 35 129
-1000.000000 5.000000 9.000000 -800.000000 271 19 61
-1000.000000 5.000000 9.000000 -700.000000 271 7 37
-1000.000000 5.000000 9.000000 -600.000000 271 7 23
-1000.000000 5.000000 9.000000 -500.000000 271 7 19
-1000.000000 5.000000 9.000000 -400.000000 271 1 9
-1000.000000 5.000000 9.000000 -300.000000 271 1 7
-1000.000000 5.000000 9.000000 -200.000000 271 1 7
-1000.000000 5.000000 9.000000 -100.000000 271 1 1
-1000.000000 5.000000 10.000000 -900.000000 271 31 111
-1000.000000 5.000000 10.000000 -800.000000 271 13 55
-1000.000000 5.000000 10.000000 -700.000000 271 7 31
-1000.000000 5.000000 10.000000 -600.000000 271 7 19
-1000.000000 5.000000 10.000000 -500.000000 271 5 13
-1000.000000 5.000000 10.000000 -400.000000 271 1 7
-1000.000000 5.000000 10.000000 -300.000000 271 1 7
-1000.000000 5.000000 10.000000 -200.000000 271 1 5
-1000.000000 5.000000 10.000000 -100.000000 271 1 1
-1000.000000 6.000000 1.000000 -900.000000 271 87 271
-1000.000000 6.000000 1.000000 -800.000000 271 59 228
-1000.000000 6.000000 1.000000 -700.000000 271 39 167
-1000.000000 6.000000 1.000000 -600.000000 271 31 121
-1000.000000 6.000000 1.000000 -500.000000 271 19 87
-1000.000000 6.000000 1.000000 -400.000000 271 19 64
-1000.000000 6.000000 1.000000 -300.000000 271 13 47
-1000.000000 6.000000 1.000000 -200.000000 271 7 31
-1000.000000 6.000000 1.000000 -100.000000 271 7 19
-1000.000000 6.000000 2.000000 -900.000000 271 93 271
-1000.000000 6.000000 2.000000 -800.000000 271 59 225
-1000.000000 6.000000 2.000000 -700.000000 271 37 157
-1000.000000 6.000000 2.000000 -600.000000 271 31 110
-1000.000000 6.000000 2.000000 -500.000000 271 19 80
-1000.000000 6.000000 2.000000 -400.000000 271 16 55
-1000.000000 6.000000 2.000000 -300.000000 271 7 37
-1000.000000 6.000000 2.000000 -200.000000 271 7 19
-1000.000000 6.000000 2.000000 -100.000000 271 1 13
-1000.000000 6.000000 3.500000 -900.000000 271 84 271
-1000.000000 6.000000 3.500000 -800.000000 271 46 174
-1000.000000 6.000000 3.500000 -700.000000 271 31 116
-1000.000000 6.000000 3.500000 -600.000000 271 19 81
-1000.000000 6.000000 3.500000 -500.000000 271 17 55
-1000.000000 6.000000 3.500000 -400.000000 271 7 37
-1000.000000 6.000000 3.500000 -300.000000 271 7 23
-1000.000000 6.000000 3.500000 -200.000000 271 7 19
-1000.000000 6.000000 3.500000 -100.000000 271 1 7
-1000.000000 6.000000 4.000000 -900.000000 271 80 271
-1000.000000 6.000000 4.000000 -800.000000 271 39 159
-1000.000000 6.000000 4.000000 -700.000000 271 28 99
